num_total_eo,num_nonceremonial_eo,num_eos,numdisasterdeclare,num_ceremonial_eo,num_routine_eo,num_pardon_eo,st,year,house_polarization,house_polarization_impute,senate_polarization,house_polarization_stdev,governor_election_year,gov_republican,gov_democrat,term_limited,governor_power,divided_gov1,divided_gov2,veto_proof,ln_state_income_growth,annual_salary2015,permanent_staff,governor_prior_vote,governor_party_pres_vote,average_polarization,senate_polarization_bonica,house_polarization_bonica,govfe,ln_legislative_staff,ln_legislative_salary,house_polarization_maj_pty_het,gov_party_size,rule_review_dichotomous,rule_review_scale,state_fe,num_disaster_eo,num_nonroutine_eo,panel_length,gov_time_in_office,ln_state_expenditures,maj_control_index
13,13,13,0,0,0,0,AZ,1997,1.8350000381469727,1.8350000381469727,1.5069999694824219,0.9446269273757935,0,1,0,0,3.625,0,0,0,8.569999694824219,13600.509765625,494.7099914550781,0.5424010753631592,0.44290000200271606,1.6710000038146973,1.1836320161819458,1.1118229627609253,Arizona-Fife Symington,6.205990791320801,9.517935752868652,0.36670321226119995,0.6333333253860474,1,1,3,0,10,19,7,16.237333297729492,1
13,13,13,0,0,0,0,AZ,1998,1.8009999990463257,1.8009999990463257,1.4670000076293945,0.9461349248886108,1,1,0,0,3.625,0,0,0,9.829999923706055,13600.509765625,517.41998291015625,0.5424010753631592,0.44290000200271606,1.6339999437332153,0.9149271249771118,1.3139220476150513,Arizona-Jane Dee Hull,6.250785827636719,9.517935752868652,0.36670321226119995,0.6333333253860474,1,1,3,0,10,19,1,16.30622100830078,1
15,15,15,0,0,0,0,AZ,1999,1.7619999647140503,1.7619999647140503,1.4290000200271606,0.9199932813644409,0,1,0,0,3.766700029373169,0,0,0,6.429999828338623,13600.509765625,540.1300048828125,0.6317232847213745,0.44290000200271606,1.5954999923706055,0.9149271249771118,1.3139220476150513,Arizona-Jane Dee Hull,6.2936601638793945,9.517935752868652,0.37184038758277893,0.6666666865348816,1,1,3,0,10,19,2,16.390195846557617,1
20,20,20,0,0,0,0,AZ,2000,1.7619999647140503,1.7619999647140503,1.4290000200271606,0.9199932813644409,0,1,0,0,3.808340072631836,0,0,0,9.15999984741211,21760.810546875,562.84002685546875,0.6317232847213745,0.5095000267028809,1.5954999923706055,1.1946699619293213,1.334015965461731,Arizona-Jane Dee Hull,6.334771156311035,9.98791217803955,0.37184038758277893,0.6333333253860474,1,1,3,0,16,19,3,16.542287826538086,1
19,19,19,0,0,0,0,AZ,2001,1.5069999694824219,1.5069999694824219,1.444000005722046,0.912568986415863,0,1,0,0,4.050000190734863,1,0,0,4.78000020980835,21760.810546875,585.54998779296875,0.6317232847213745,0.5095000267028809,1.4754999876022339,1.1946699619293213,1.334015965461731,Arizona-Jane Dee Hull,6.374258041381836,9.98791217803955,0.5091311931610107,0.6000000238418579,1,1,3,0,12,19,4,16.558168411254883,1
22,22,22,0,0,0,0,AZ,2002,1.5069999694824219,1.5069999694824219,1.4539999961853027,0.9116385579109192,1,1,0,0,3.625,1,0,0,3.7200000286102295,21760.810546875,608.260009765625,0.6317232847213745,0.5095000267028809,1.4804999828338623,1.167389988899231,1.5412750244140625,Arizona-Jane Dee Hull,6.41224479675293,9.98791217803955,0.5080888271331787,0.6000000238418579,1,1,3,0,13,19,5,16.63297462463379,1
24,24,21,0,0,0,0,AZ,2003,2.069999933242798,2.069999933242798,1.6970000267028809,1.1266382932662964,0,0,1,0,3.8125,1,1,0,5.340000152587891,21760.810546875,631,0.5052728056907654,0.44670000672340393,1.8834999799728394,1.167389988899231,1.5412750244140625,Arizona-Jane Dee Hull,6.448888778686523,9.98791217803955,0.5713570713996887,0.3499999940395355,1,1,3,0,15,19,6,16.677885055541992,1
31,31,30,0,0,0,0,AZ,2004,2.0850000381469727,2.0850000381469727,1.7890000343322754,1.1312530040740967,0,0,1,0,4,1,1,0,8.960000038146973,21760.810546875,625.5,0.5052728056907654,0.4431999921798706,1.937000036239624,1.1940419673919678,1.4193940162658691,Arizona-Janet Napolitano,6.440148830413818,9.98791217803955,0.5713570713996887,0.3499999940395355,1,1,3,0,20,19,1,16.78891944885254,1
31,31,30,0,0,0,0,AZ,2005,2.1730000972747803,2.1730000972747803,1.875,1.2092365026474,0,0,1,0,4,1,1,0,10.800000190734863,21760.810546875,620,0.5052728056907654,0.4431999921798706,2.0239999294281006,1.1940419673919678,1.4193940162658691,Arizona-Janet Napolitano,6.431331157684326,9.98791217803955,0.5678591132164001,0.366666704416275,1,1,3,0,17,19,2,16.889265060424805,1
16,16,16,0,0,0,0,AZ,2006,2.2100000381469727,2.2100000381469727,2.0390000343322754,1.2099394798278809,1,0,1,0,4,1,1,0,10.890000343322754,21760.810546875,614.5,0.5052728056907654,0.4431999921798706,2.124500036239624,1.5457860231399536,1.6524070501327515,Arizona-Janet Napolitano,6.4224348068237305,9.98791217803955,0.5393068790435791,0.3499999940395355,1,1,3,0,7,19,3,16.963289260864258,1
29,29,27,0,0,0,0,AZ,2007,2.2920000553131104,2.2920000553131104,2.1089999675750732,1.2394641637802124,0,0,1,1,4,1,1,0,5.369999885559082,21760.810546875,609,0.6384573578834534,0.4431999921798706,2.200500011444092,1.5457860231399536,1.6524070501327515,Arizona-Janet Napolitano,6.413458824157715,9.98791217803955,0.5177856087684631,0.44999998807907104,1,1,3,0,14,19,4,17.053157806396484,1
30,30,27,0,0,0,0,AZ,2008,2.371999979019165,2.371999979019165,2.118000030517578,1.2387861013412476,0,0,1,1,4,1,1,0,1.5700000524520874,21760.810546875,603.5,0.6384573578834534,0.44909998774528503,2.244999885559082,1.615440011024475,1.6993980407714844,Arizona-Janet Napolitano,6.404401779174805,9.98791217803955,0.5177856087684631,0.44999998807907104,1,1,3,0,15,19,5,17.132200241088867,1
12,11,10,0,1,0,0,AZ,2009,2.4200000762939453,2.4200000762939453,2.311000108718872,1.2624181509017944,0,1,0,0,4,0,0,0,-4.079999923706055,21760.810546875,598,0.36154264211654663,0.5339000225067139,2.365499973297119,1.615440011024475,1.6993980407714844,Arizona-Janice K. Brewer,6.395261764526367,9.98791217803955,0.41134148836135864,0.5833333134651184,1,1,3,0,4,19,1,17.1412296295166,1
19,18,16,0,1,0,0,AZ,2010,2.430000066757202,2.430000066757202,2.3529999256134033,1.2457314729690552,1,1,0,0,4,0,0,0,1.0499999523162842,21760.810546875,592.5,0.36154264211654663,0.5339000225067139,2.3914999961853027,1.8323969841003418,1.751886010169983,Arizona-Janice K. Brewer,6.3860368728637695,9.98791217803955,0.400112509727478,0.5833333134651184,1,1,3,0,12,19,2,17.14708709716797,1
9,9,9,0,0,0,0,AZ,2011,2.502000093460083,2.502000093460083,2.5299999713897705,1.2893989086151123,0,1,0,1,4,0,0,0,5.269999980926514,21760.810546875,587,0.56127166748046875,0.5339000225067139,2.5160000324249268,1.8323969841003418,1.751886010169983,Arizona-Janice K. Brewer,6.376727104187012,9.98791217803955,0.3897568881511688,0.6666666865348816,1,1,3,0,8,19,3,17.152101516723633,1
7,7,7,0,0,0,0,AZ,2012,2.5360000133514404,2.5360000133514404,2.555999994277954,1.3455383777618408,0,1,0,1,4,0,0,0,3.609999895095825,21760.810546875,581.5,0.56127166748046875,0.5347999930381775,2.5460000038146973,1.7646169662475586,2.058964967727661,Arizona-Janice K. Brewer,6.367329120635986,9.98791217803955,0.3865759074687958,0.6666666865348816,1,1,3,0,4,19,4,17.10466957092285,1
9,9,9,0,0,0,0,AZ,2013,2.7019999027252197,2.7019999027252197,2.486999988555908,1.4365617036819458,0,1,0,1,4,0,0,0,2.740000009536743,21760.810546875,576,0.56127166748046875,0.5347999930381775,2.5945000648498535,1.7646169662475586,2.058964967727661,Arizona-Janice K. Brewer,6.357841968536377,9.98791217803955,0.438515305519104,0.6000000238418579,1,1,3,0,5,19,5,17.138765335083008,1
